Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Discovery method,Disc. Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks,distance (clean),mass (clean),radius (clean),star mass (clean),star temp (clean),Distance_Radius_Interaction,star_mass_bin
HD 6434 b,0.49,0.213,22,0.14,radial vel.,2003,138.3,1.1,5769,Proper name Eyeke,138.3,0.49,0.213,1.1,5769,29.4579,"(-0.00354, 5.905]"
HD 6718 b,1.68,0.213,2496,3.55,radial vel.,2009,167.7,1.08,5801,,167.7,1.68,0.213,1.08,5801,35.7201,"(-0.00354, 5.905]"
HD 7924 b,0.02,0.213,5.4,0.06,radial vel.,2008,55.4,0.65,5131,,55.4,0.02,0.213,0.65,5131,11.8002,"(-0.00354, 5.905]"
HD 8574 b,2.03,0.213,227,0.76,radial vel.,2002,146.4,1.34,6064,Proper name Bélisama,146.4,2.03,0.213,1.34,6064,31.1832,"(-0.00354, 5.905]"
HD 8673 b,14.2,0.213,1634,3.02,radial vel.,2009,123.6,1.35,6472,,123.6,14.2,0.213,1.35,6472,26.3268,"(-0.00354, 5.905]"
HD 9446 b,0.7,0.213,30.05,0.189,radial vel.,2009,164.4,1,5793,,164.4,0.7,0.213,1,5793,35.0172,"(-0.00354, 5.905]"
HD 9446 c,1.82,0.213,192.9,0.654,radial vel.,2009,164.4,1,5793,,164.4,1.82,0.213,1,5793,35.0172,"(-0.00354, 5.905]"
HD 11506 b,4.83,0.213,1622.1,2.9,radial vel.,2007,167.4,1.24,6030,[9],167.4,4.83,0.213,1.24,6030,35.6562,"(-0.00354, 5.905]"
HD 11964 b,0.622,0.213,1945,3.16,radial vel.,2005,109.5,1.12,5349,,109.5,0.622,0.213,1.12,5349,23.3235,"(-0.00354, 5.905]"
HD 11964 c,0.0788,0.213,37.91,0.229,radial vel.,2008,109.5,1.12,5349,,109.5,0.0788,0.213,1.12,5349,23.3235,"(-0.00354, 5.905]"
HD 12661 b,2.43,0.213,262.71,0.84,radial vel.,2000,123.6,1.2,5645,,123.6,2.43,0.213,1.2,5645,26.3268,"(-0.00354, 5.905]"
HD 12661 c,1.812,0.213,1708,2.8145,radial vel.,2002,123.6,1.2,5645,,123.6,1.812,0.213,1.2,5645,26.3268,"(-0.00354, 5.905]"
HD 13189 b,10.95,0.213,471.6,1.25,radial vel.,2005,1646,2.24,4175,,1646,10.95,0.213,2.24,4175,350.598,"(-0.00354, 5.905]"
HD 13931 b,2.2,0.213,4218,5.15,radial vel.,2009,154.8,1.3,5867,,154.8,2.2,0.213,1.3,5867,32.9724,"(-0.00354, 5.905]"
HD 16175 b,5.1,0.213,990,2.12,radial vel.,2009,195.6,1.63,5981,Proper name Abol,195.6,5.1,0.213,1.63,5981,41.6628,"(-0.00354, 5.905]"
HD 16417 b,0.0696,0.213,17.24,0.14,radial vel.,2008,82.9,1.2,5841,,82.9,0.0696,0.213,1.2,5841,17.6577,"(-0.00354, 5.905]"
HD 17092 b,10.13,0.213,359.9,1.31,radial vel.,2007,749.8,6.73,4326,,749.8,10.13,0.213,6.73,4326,159.7074,"(5.905, 11.79]"
HD 17156 b,3.51,1.1,21.22,0.16278,radial vel.,2007,255.3,1.41,6040,[9] Proper name Mulchatna,255.3,3.51,1.1,1.41,6040,280.83,"(-0.00354, 5.905]"
HD 20782 b,1.4878,0.213,597.06,1.3649,radial vel.,2006,117.5,1.07,5790,Has the most eccentric orbit of any known exoplanet[10],117.5,1.4878,0.213,1.07,5790,25.0275,"(-0.00354, 5.905]"
HD 20868 b,1.25,0.213,380.85,0.95,radial vel.,2008,155.9,0.39,4802,Proper name Baiduri,155.9,1.25,0.213,0.39,4802,33.2067,"(-0.00354, 5.905]"
HD 23079 b,2.61,0.213,730.6,1.6,radial vel.,2001,109.2,1.12,5974,Proper name Guarani,109.2,2.61,0.213,1.12,5974,23.2596,"(-0.00354, 5.905]"
HD 23127 b,1.527,0.213,1211.17,2.37,radial vel.,2006,307,1.21,5843,,307,1.527,0.213,1.21,5843,65.391,"(-0.00354, 5.905]"
HD 23596 b,9.03,0.213,1561,2.77,radial vel.,2003,169.9,1.47,6040,,169.9,9.03,0.213,1.47,6040,36.1887,"(-0.00354, 5.905]"
HD 24040 b,3.86,0.213,3668,4.92,radial vel.,2006,152.2,1.11,5802,,152.2,3.86,0.213,1.11,5802,32.4186,"(-0.00354, 5.905]"
HD 27894 b,0.665,0.213,18.02,0.125,radial vel.,2005,143.1,0.8,4894,,143.1,0.665,0.213,0.8,4894,30.4803,"(-0.00354, 5.905]"
HD 28185 b,5.9,0.213,379,1.02,radial vel.,2001,128.6,1.02,5662,,128.6,5.9,0.213,1.02,5662,27.3918,"(-0.00354, 5.905]"
HD 30177 b,8.622,0.213,2527.83,3.704,radial vel.,2002,181.6,1.05,5607,,181.6,8.622,0.213,1.05,5607,38.6808,"(-0.00354, 5.905]"
HD 30562 b,1.22,0.213,1157,2.34,radial vel.,2009,85.4,1.12,5882,,85.4,1.22,0.213,1.12,5882,18.1902,"(-0.00354, 5.905]"
HD 32518 b,3.04,0.213,157.54,0.59,radial vel.,2009,399.7,1.13,4580,Proper name Neri,399.7,3.04,0.213,1.13,4580,85.1361,"(-0.00354, 5.905]"
HD 33283 b,0.329,0.213,18.2,0.1508,radial vel.,2006,293.9,1.38,5935,,293.9,0.329,0.213,1.38,5935,62.6007,"(-0.00354, 5.905]"
HD 33564 b,9.1,0.213,388,1.1,radial vel.,2005,68.4,1.25,6250,,68.4,9.1,0.213,1.25,6250,14.5692,"(-0.00354, 5.905]"
HD 34445 b,0.82,0.213,1049,2.07,radial vel.,2009,150.5,1.14,5879,,150.5,0.82,0.213,1.14,5879,32.0565,"(-0.00354, 5.905]"
HD 37124 b,0.675,0.213,154.38,0.53364,radial vel.,2002,103.4,0.85,5492,,103.4,0.675,0.213,0.85,5492,22.0242,"(-0.00354, 5.905]"
HD 37124 c,0.652,0.213,885.5,1.71,radial vel.,2002,103.4,0.85,5492,,103.4,0.652,0.213,0.85,5492,22.0242,"(-0.00354, 5.905]"
HD 37124 d,0.696,0.213,1862,2.807,radial vel.,2005,103.4,0.85,5492,,103.4,0.696,0.213,0.85,5492,22.0242,"(-0.00354, 5.905]"
HD 37605 b,2.69,0.213,55.01,0.277,radial vel.,2004,152.8,0.94,5329,,152.8,2.69,0.213,0.94,5329,32.5464,"(-0.00354, 5.905]"
